account_id,customer_id,account_type,account_status,open_date,current_balance,currency,credit_limit
3202a9b4-46ce-4d89-99f7-7a19675d4e99,ab00fb13-5d84-4da3-b4c7-62c74f080f81,credit card,dormant,2024-03-26,19543.92,EUR,43718.47
826d1da9-c944-48fb-aaa3-7d36db16df03,ab00fb13-5d84-4da3-b4c7-62c74f080f81,savings,dormant,2023-02-28,17408.1,EUR,0.0
0a81f601-3aae-4b5c-a038-c912c817fb19,ab00fb13-5d84-4da3-b4c7-62c74f080f81,savings,active,2023-03-06,93165.76,EUR,0.0
cb8d344e-346b-49eb-9aa8-876a62f513a7,8e7edddf-83c1-41c8-a32b-3c6772c33d12,savings,dormant,2023-02-10,94519.58,EUR,0.0
c87e0935-0ae8-4a7d-bb2f-ee268834d92f,8e7edddf-83c1-41c8-a32b-3c6772c33d12,credit card,active,2024-02-27,64480.66,EUR,9482.3
0f616147-1ea4-45cd-b443-8be4bd3191ea,2d1f0ed0-78a1-4419-89a2-aa86e46ea689,loan,active,2020-11-03,6679.89,GBP,0.0
a1edd091-c4cd-4e33-bbad-19f8c30ee4e2,70c287d7-1192-4496-89d2-2489eed41c92,credit card,dormant,2020-05-01,2832.68,GBP,19649.21
766b1fe9-e4cf-4588-94db-cdfe53fb3732,fb3701ed-ccc2-4a4e-9f1f-d07cd251b8e6,savings,dormant,2022-07-03,91190.26,INR,0.0
b4af9bd7-fde5-4bc3-a097-1bc0f156b41e,8ca8e336-56c1-4086-a273-18a16cf8bf53,loan,closed,2020-05-10,43114.33,INR,0.0
30b37451-daab-4280-813a-9416e7670113,c530827b-1e6f-4839-944c-7ebb5ab80a47,loan,closed,2023-04-02,34618.48,EUR,0.0
8e6a38bf-b5a3-49cc-94ab-b6d699649907,3029a16a-a1cf-455c-887d-dc0a42a25dad,credit card,active,2023-03-30,68947.09,GBP,11161.04
e2dcf407-e4da-4519-9042-022d713ab763,f12cde8a-8ba6-46c2-88bd-842853c568ca,loan,active,2023-03-06,2046.43,JPY,0.0
